VideoID, TotalComments, GoodComments, TrashComments, Glaze, ManyEmojis, Repetitive, Short, 67, GoodLikeAvg, FlaggedLikeAvg, GoodReplyAvg, FlaggedReplyAvg
bbMD0dpRTD8, 1000, 175, 825, 0, 727, 27, 763, 2, 0.09714285714285714, 0.024242424242424242, 0.005714285714285714, 0.0024242424242424242
obZcEJj5jf8, 1000, 827, 173, 4, 37, 98, 72, 0, 1.5259975816203144, 2.2890173410404624, 0.022974607013301087, 0.011560693641618497
QXejXI2jMRA, 454, 342, 112, 9, 18, 54, 47, 3, 18.86842105263158, 0.5982142857142857, 4.593567251461988, 0.09821428571428571
_d6g2t-fwJM, 1000, 633, 367, 0, 209, 113, 232, 7, 0.2669826224328594, 0.9700272479564033, 0.014218009478672985, 0.035422343324250684
q1temXQ5Zps, 319, 226, 93, 2, 33, 28, 63, 0, 23.54424778761062, 1.7204301075268817, 0.4469026548672566, 0.08602150537634409
k4Ggn6sKl3I, 441, 328, 113, 1, 54, 37, 59, 2, 1.6310975609756098, 1.8938053097345133, 0.24695121951219512, 0.7522123893805309
_4X7eVGRHwU, 400, 303, 97, 1, 29, 35, 63, 8, 4.217821782178218, 0.010309278350515464, 0.31353135313531355, 0.0
a1ifEyPmRgM, 773, 699, 74, 0, 12, 48, 24, 5, 7.988555078683834, 0.08108108108108109, 0.30042918454935624, 0.013513513513513514
KCFDMdjL6xk, 340, 161, 179, 0, 104, 55, 112, 0, 2.2919254658385095, 0.8770949720670391, 0.18633540372670807, 0.0335195530726257
BZlz-7jiIKE, 721, 511, 210, 0, 92, 68, 134, 6, 2.900195694716243, 0.14761904761904762, 0.34637964774951074, 0.05238095238095238
N_9XPssNo5Q, 251, 214, 37, 1, 11, 17, 19, 2, 3.705607476635514, 0.32432432432432434, 0.22429906542056074, 0.21621621621621623
2wPsvA8jMzM, 473, 341, 132, 0, 59, 49, 79, 17, 1.1818181818181819, 0.30303030303030304, 0.2932551319648094, 0.11363636363636363
rshLkT_RDfM, 1000, 450, 550, 4, 387, 84, 438, 3, 1.5022222222222221, 0.14545454545454545, 0.24666666666666667, 0.02181818181818182
O-9Zbm2i79o, 223, 161, 62, 0, 24, 21, 39, 0, 0.937888198757764, 0.11290322580645161, 0.12422360248447205, 0.0
rfSnY9Ze390, 242, 141, 101, 0, 21, 32, 59, 40, 1.0638297872340425, 0.1188118811881188, 1.4397163120567376, 0.07920792079207921
fPL0raDqjnI, 1000, 839, 161, 1, 35, 60, 94, 46, 2.0441001191895114, 1.3975155279503106, 0.07747318235995232, 0.037267080745341616
JqsYcWjGR0Q, 258, 155, 103, 0, 40, 26, 81, 5, 7.7290322580645165, 0.49514563106796117, 0.23870967741935484, 0.019417475728155338
QwyVETJaMj0, 1000, 685, 315, 1, 126, 152, 149, 3, 0.03795620437956204, 1.1047619047619048, 0.00145985401459854, 0.006349206349206349
lcKBWDeE1oI, 1000, 468, 532, 0, 344, 44, 451, 0, 0.9636752136752137, 0.04887218045112782, 0.04487179487179487, 0.009398496240601503
pzxcOsvgZ6s, 1000, 740, 260, 0, 48, 71, 178, 12, 1.2675675675675675, 0.07692307692307693, 0.13243243243243244, 0.0038461538461538464
AqWvtyo_EcE, 1000, 678, 322, 1, 153, 101, 216, 2, 1.3834808259587021, 0.06832298136645963, 0.0471976401179941, 0.024844720496894408
Rg0vGYHAK9Y, 1000, 746, 254, 5, 110, 87, 154, 7, 8.525469168900804, 0.15748031496062992, 0.10991957104557641, 0.015748031496062992
Zj6iOYQ3lRs, 1000, 493, 507, 1, 434, 52, 407, 0, 0.18052738336713997, 0.05719921104536489, 0.02028397565922921, 0.013806706114398421
p-TZKPZ68lU, 1000, 356, 644, 151, 352, 119, 373, 0, 0.05898876404494382, 0.13354037267080746, 0.0056179775280898875, 0.021739130434782608
1KxXkKvhpDo, 625, 411, 214, 11, 96, 67, 132, 5, 4.785888077858881, 1.1635514018691588, 0.39659367396593675, 0.056074766355140186
EuW2pKwE7-w, 775, 604, 171, 1, 86, 58, 103, 3, 4.317880794701987, 0.9941520467836257, 0.2367549668874172, 0.17543859649122806
XfPBTgumDVo, 377, 175, 202, 0, 128, 33, 159, 2, 5.36, 1.193069306930693, 0.3942857142857143, 0.08415841584158416
yFK68vKOM64, 1000, 626, 374, 0, 39, 284, 98, 0, 0.268370607028754, 1.8368983957219251, 0.01437699680511182, 0.05080213903743316
IT_3nWn-yNI, 663, 474, 189, 0, 99, 75, 113, 1, 24.185654008438817, 0.3386243386243386, 0.6012658227848101, 0.037037037037037035
k5L64HizrUQ, 1000, 205, 795, 0, 726, 16, 758, 2, 0.05365853658536585, 0.021383647798742137, 0.02926829268292683, 0.0025157232704402514
